City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Houma,US,68.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
4,Victoria,HK,72.32,light rain,22.2855,114.1577,Mini Hotel Central
8,Faanui,PF,79.72,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
15,Hilo,US,75.11,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
16,Castro,BR,72.52,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
21,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
22,Rikitea,PF,75.27,light rain,-23.1203,-134.9692,People ThankYou
26,Limbang,MY,77.11,light rain,4.75,115.0,Purnama Hotel
33,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
35,Atuona,PF,77.76,clear sky,-9.8,-139.0333,Villa Enata
36,Dingle,PH,77.54,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
40,Ahipara,NZ,60.89,clear sky,-35.1667,173.1667,Ahipara Holiday Park
41,Loukisia,GR,66.78,overcast clouds,38.4833,23.45,ΚΤΗΜΑ ΑΝΘΗΔΩΝ
43,Hermanus,ZA,60.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
45,Jasper,US,70.45,few clouds,37.2001,-94.3502,Guest House Motel
54,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
59,Port Alfred,ZA,65.03,light rain,-33.5906,26.891,The Halyards Hotel
60,Yanam,IN,77.4,overcast clouds,16.7333,82.2167,The Regency Hotel
62,Arraial Do Cabo,BR,75.06,few clouds,-22.9661,-42.0278,Pousada Porto Praia
64,Cape Town,ZA,62.28,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
68,Bassar,TG,81.97,few clouds,9.25,0.7833,Hôtel KYRIAD
69,Bengkulu,ID,77.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
72,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
73,Chuy,UY,64.8,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
74,Humberto De Campos,BR,84.9,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
77,Ruidoso,US,72.05,clear sky,33.3317,-105.673,Inn of the Mountain Gods
78,Airai,TL,63.82,overcast clouds,-8.9266,125.4092,Juvinal Martin
79,Port Blair,IN,80.51,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
82,Cidreira,BR,66.45,clear sky,-30.1811,-50.2056,Hotel Castelo
83,Kavieng,PG,82.4,light rain,-2.5744,150.7967,Nusa Island Retreat
