City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Ginir,ET,7.1333,40.7,58.19,70,33,5.06,scattered clouds
1,Albany,US,42.6001,-73.9662,57.09,45,0,1.43,clear sky
2,Houma,US,29.5958,-90.7195,68.0,53,1,9.22,clear sky
3,Khatanga,RU,71.9667,102.5,21.99,94,100,14.83,overcast clouds
4,Victoria,HK,22.2855,114.1577,72.32,91,98,1.01,light rain
5,Ostrovnoy,RU,68.0531,39.5131,27.97,85,100,9.82,light snow
6,Punta Arenas,CL,-53.15,-70.9167,53.71,43,20,27.63,few clouds
7,Champerico,GT,14.3,-91.9167,91.94,71,48,6.29,scattered clouds
8,Faanui,PF,-16.4833,-151.75,79.72,72,19,6.89,light rain
9,Chiredzi,ZW,-21.05,31.6667,85.69,30,2,8.23,clear sky
10,Havre-Saint-Pierre,CA,50.2334,-63.5986,45.19,84,98,15.32,overcast clouds
11,Yellowknife,CA,62.456,-114.3525,30.42,87,100,1.99,overcast clouds
12,Den Helder,NL,52.9599,4.7593,50.07,80,75,13.0,broken clouds
13,Vestmannaeyjar,IS,63.4427,-20.2734,40.06,85,100,26.19,light rain
14,Upernavik,GL,72.7868,-56.1549,13.71,89,90,13.71,overcast clouds
15,Hilo,US,19.7297,-155.09,75.11,83,75,4.61,broken clouds
16,Castro,BR,-24.7911,-50.0119,72.52,77,58,3.06,broken clouds
17,Busselton,AU,-33.65,115.3333,52.05,86,100,10.94,overcast clouds
18,Linqiong,CN,30.4159,103.4609,43.65,68,94,3.71,overcast clouds
19,Coahuayana,MX,18.7333,-103.6833,90.0,53,31,5.39,scattered clouds
20,Sosnovka,RU,56.255,51.2842,39.42,68,100,14.14,overcast clouds
21,Vaini,TO,-21.2,-175.2,78.96,89,75,8.05,broken clouds
22,Rikitea,PF,-23.1203,-134.9692,75.27,82,100,16.96,light rain
23,Tortoli,IT,39.9256,9.6572,58.98,75,0,7.25,clear sky
24,Tuatapere,NZ,-46.1333,167.6833,49.82,76,99,3.42,overcast clouds
25,La Reforma,MX,25.0833,-108.05,93.74,36,0,8.01,clear sky
26,Limbang,MY,4.75,115.0,77.11,98,63,2.48,light rain
