City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lebu,CL,2021-11-06 00:09:26,-37.6167,-73.65,53.01,85,0,18.92
1,Punta Arenas,CL,2021-11-06 00:09:27,-53.15,-70.9167,51.91,62,75,25.32
2,Albany,US,2021-11-06 00:06:27,42.6001,-73.9662,39.92,76,35,4.92
3,Najran,SA,2021-11-06 00:09:27,17.4924,44.1277,61.32,28,26,1.72
4,Jumla,NP,2021-11-06 00:06:09,29.2747,82.1838,39.96,41,9,4.59
5,Boa Vista,BR,2021-11-06 00:09:28,2.8197,-60.6733,81.01,63,60,7.09
6,Butaritari,KI,2021-11-06 00:09:28,3.0707,172.7902,82.45,71,16,12.55
7,Yellowknife,CA,2021-11-06 00:09:29,62.456,-114.3525,28.42,99,75,4.61
8,Avarua,CK,2021-11-06 00:09:29,-21.2078,-159.775,78.85,61,20,9.22
9,Kavieng,PG,2021-11-06 00:09:30,-2.5744,150.7967,84.94,70,90,14.03
10,Mpanda,TZ,2021-11-06 00:09:30,-6.3655,31.0409,72.34,49,52,3.53
11,Port-Gentil,GA,2021-11-06 00:09:30,-0.7193,8.7815,78.37,84,100,12.19
12,Messina,IT,2021-11-06 00:09:30,38.1933,15.5497,68.79,80,75,1.01
13,Rikitea,PF,2021-11-06 00:09:31,-23.1203,-134.9692,74.95,78,87,8.72
14,Barrow,US,2021-11-06 00:09:31,71.2906,-156.7887,21.22,86,90,29.93
15,Loubomo,CG,2021-11-06 00:09:32,-4.1997,12.6739,72.37,97,100,2.55
16,Sitka,US,2021-11-06 00:09:32,57.0531,-135.33,49.89,53,75,12.66
17,Saint-Joseph,RE,2021-11-06 00:09:32,-21.3667,55.6167,70.21,76,0,6.93
18,Kadirli,TR,2021-11-06 00:09:33,37.3739,36.0961,65.35,32,1,5.39
19,Ponta Do Sol,PT,2021-11-06 00:09:34,32.6667,-17.1,67.71,67,19,8.72
20,Touros,BR,2021-11-06 00:09:34,-5.1989,-35.4608,79.36,82,50,10.76
21,Esperance,AU,2021-11-06 00:09:34,-33.8667,121.9,56.14,62,100,8.12
22,Ushuaia,AR,2021-11-06 00:09:35,-54.8,-68.3,45.99,81,95,11.88
23,Vaitape,PF,2021-11-06 00:09:35,-16.5167,-151.75,79.52,75,99,8.21
24,Caravelas,BR,2021-11-06 00:09:36,-17.7125,-39.2481,75.49,84,73,8.9
25,Komsomolskiy,UZ,2021-11-06 00:04:44,40.4272,71.7189,33.22,59,75,2.3
26,Port Elizabeth,ZA,2021-11-06 00:09:36,-33.918,25.5701,62.33,78,100,6.87
27,Nakano,JP,2021-11-06 00:09:37,36.75,138.3667,56.37,87,5,2.66
28,Darnah,LY,2021-11-06 00:09:37,32.767,22.6367,72.61,57,4,6.02
29,New Norfolk,AU,2021-11-06 00:09:38,-42.7826,147.0587,70.92,59,79,1.99
30,Siwana,IN,2021-11-06 00:09:38,25.6333,72.4167,70.5,26,98,5.44
31,Cumberland,US,2021-11-06 00:09:38,35.0502,-78.8664,48.38,61,1,6.91
32,Puerto Ayora,EC,2021-11-06 00:09:39,-0.7393,-90.3518,68.95,78,50,9.1
